long_name	short_name	bxd_id	batch	off_epoch	type	gen_inbreeding	gen_breeding	note	cross_type
4512-JFI-0355_BXD152	BXD152_0355	BXD152	5_rww	epoch_4	F2_RI	26	26	NA	RI
4512-JFI-0374_BXD154_RwwJ	BXD154_RwwJ_0374	BXD154	5_rww	epoch_4	F2_RI	25	25	NA	RI
4512-JFI-0362_BXD155	BXD155_0362	BXD155	5_rww	epoch_4	F2_RI	22	27	NA	RI
4512-JFI-0357_BXD156	BXD156_0357	BXD156	5_rww	epoch_4	F2_RI	28	28	NA	RI
4512-JFI-0391_BXD157	BXD157_0391	BXD157	5_rww	epoch_4	F2_RI	23	23	NA	RI
4512-JFI-0427_BXD160	BXD160_0427	BXD160	6_rww	epoch_5	G8_RI	28	36	NA	AI
4512-JFI-0456_BXD161_RwwJ	BXD161_RwwJ_0456	BXD161	6_rww	epoch_5	G8_RI	26	34	NA	AI
4512-JFI-0394_BXD162	BXD162_0394	BXD162	6_rww	epoch_5	G8_RI	25	33	NA	AI
4512-JFI-0466_BXD168	BXD168_0466	BXD168	6_rww	epoch_5	G9_RI	25	34	NA	AI
4512-JFI-0426_BXD169	BXD169_0426	BXD169	6_rww	epoch_5	G9_RI	26	35	NA	AI
4512-JFI-0437_BXD170	BXD170_0437	BXD170	6_rww	epoch_5	G9_RI	34	43	NA	AI
4512-JFI-0484_BXD171	BXD171_0484	BXD171	6_rww	epoch_5	G9_RI	28	37	NA	AI
4512-JFI-0380_BXD172	BXD172_0380	BXD172	6_rww	epoch_5	G9_RI	32	41	NA	AI
4512-JFI-0402_BXD173	BXD173_0402	BXD173	6_rww	epoch_5	G9_RI	22	31	NA	AI
4512-JFI-0385_BXD174	BXD174_0385	BXD174	6_rww	epoch_5	G9_RI	24	33	NA	AI
4512-JFI-0448_BXD175	BXD175_0448	BXD175	6_rww	epoch_5	G9_RI	18	27	NA	AI
4512-JFI-0428_BXD176	BXD176_0428	BXD176	6_rww	epoch_5	G9_RI	21	30	NA	AI
4512-JFI-0490_BXD177	BXD177_0490	BXD177	6_rww	epoch_5	G9_RI	22	31	NA	AI
4512-JFI-0342_BXD178	BXD178_0342	BXD178	6_rww	epoch_5	G9_RI	23	32	NA	AI
4512-JFI-0353_BXD180	BXD180_0353	BXD180	6_rww	epoch_5	G9_RI	26	35	NA	AI
